trip_id,arrival_time,departure_time,stop_id,stop_sequence
Shuttle6_0_47,13:27:00,13:27:00,Ekinan0,1
Shuttle6_0_47,13:27:00,13:27:00,ZuiryujiGuchi0,2
Shuttle6_0_47,13:30:00,13:30:00,Kyoden0,3
Shuttle6_0_47,13:30:00,13:30:00,AeonMallGuchi0,4
Shuttle6_0_47,13:34:00,13:34:00,ShinTakaokaEki3,5
Shuttle6_0_48,13:36:00,13:36:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_48,13:37:00,13:37:00,Ekinan0,1
Shuttle6_0_48,13:37:00,13:37:00,ZuiryujiGuchi0,2
Shuttle6_0_48,13:40:00,13:40:00,Kyoden0,3
Shuttle6_0_48,13:40:00,13:40:00,AeonMallGuchi0,4
Shuttle6_0_48,13:44:00,13:44:00,ShinTakaokaEki3,5
Shuttle6_0_49,13:46:00,13:46:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_49,13:47:00,13:47:00,Ekinan0,1
Shuttle6_0_49,13:47:00,13:47:00,ZuiryujiGuchi0,2
Shuttle6_0_49,13:50:00,13:50:00,Kyoden0,3
Shuttle6_0_49,13:50:00,13:50:00,AeonMallGuchi0,4
Shuttle6_0_49,13:54:00,13:54:00,ShinTakaokaEki3,5
Shuttle6_0_50,13:51:00,13:51:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_50,13:52:00,13:52:00,Ekinan0,1
Shuttle6_0_50,13:52:00,13:52:00,ZuiryujiGuchi0,2
Shuttle6_0_50,13:55:00,13:55:00,Kyoden0,3
Shuttle6_0_50,13:55:00,13:55:00,AeonMallGuchi0,4
Shuttle6_0_50,13:59:00,13:59:00,ShinTakaokaEki3,5
Shuttle6_0_51,13:56:00,13:56:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_51,13:57:00,13:57:00,Ekinan0,1
Shuttle6_0_51,13:57:00,13:57:00,ZuiryujiGuchi0,2
Shuttle6_0_51,13:59:00,13:59:00,Kyoden0,3
Shuttle6_0_51,14:01:00,14:01:00,AeonMallGuchi0,4
Shuttle6_0_51,14:04:00,14:04:00,ShinTakaokaEki3,5
Shuttle6_0_52,14:06:00,14:06:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_52,14:07:00,14:07:00,Ekinan0,1
Shuttle6_0_52,14:07:00,14:07:00,ZuiryujiGuchi0,2
Shuttle6_0_52,14:10:00,14:10:00,Kyoden0,3
Shuttle6_0_52,14:10:00,14:10:00,AeonMallGuchi0,4
Shuttle6_0_52,14:14:00,14:14:00,ShinTakaokaEki3,5
Shuttle6_0_53,14:16:00,14:16:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_53,14:17:00,14:17:00,Ekinan0,1
Shuttle6_0_53,14:17:00,14:17:00,ZuiryujiGuchi0,2
Shuttle6_0_53,14:20:00,14:20:00,Kyoden0,3
Shuttle6_0_53,14:20:00,14:20:00,AeonMallGuchi0,4
Shuttle6_0_53,14:24:00,14:24:00,ShinTakaokaEki3,5
Shuttle6_0_54,14:21:00,14:21:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_54,14:21:00,14:21:00,Ekinan0,1
Shuttle6_0_54,14:22:00,14:22:00,ZuiryujiGuchi0,2
Shuttle6_0_54,14:23:00,14:23:00,Kyoden0,3
Shuttle6_0_54,14:23:00,14:23:00,AeonMallGuchi0,4
Shuttle6_0_54,14:29:00,14:29:00,ShinTakaokaEki3,5
Shuttle6_0_55,14:26:00,14:26:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_55,14:27:00,14:27:00,Ekinan0,1
Shuttle6_0_55,14:27:00,14:27:00,ZuiryujiGuchi0,2
Shuttle6_0_55,14:29:00,14:29:00,Kyoden0,3
Shuttle6_0_55,14:31:00,14:31:00,AeonMallGuchi0,4
Shuttle6_0_55,14:34:00,14:34:00,ShinTakaokaEki3,5
Shuttle6_0_56,14:36:00,14:36:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_56,14:37:00,14:37:00,Ekinan0,1
Shuttle6_0_56,14:37:00,14:37:00,ZuiryujiGuchi0,2
Shuttle6_0_56,14:40:00,14:40:00,Kyoden0,3
Shuttle6_0_56,14:40:00,14:40:00,AeonMallGuchi0,4
Shuttle6_0_56,14:44:00,14:44:00,ShinTakaokaEki3,5
Shuttle6_0_57,14:46:00,14:46:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_57,14:47:00,14:47:00,Ekinan0,1
Shuttle6_0_57,14:47:00,14:47:00,ZuiryujiGuchi0,2
Shuttle6_0_57,14:49:00,14:49:00,Kyoden0,3
Shuttle6_0_57,14:51:00,14:51:00,AeonMallGuchi0,4
Shuttle6_0_57,14:54:00,14:54:00,ShinTakaokaEki3,5
Shuttle6_0_58,14:56:00,14:56:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_58,14:57:00,14:57:00,Ekinan0,1
Shuttle6_0_58,14:57:00,14:57:00,ZuiryujiGuchi0,2
Shuttle6_0_58,15:00:00,15:00:00,Kyoden0,3
Shuttle6_0_58,15:00:00,15:00:00,AeonMallGuchi0,4
